"User_ID sorted by SD","Ensembl_gene_id","symbol","cng_1","cng_2","cng_3","cng_4","wt_1","wt_2","wt_3","treatment30_1","treatment30_2","treatment30_3","treatment30_4"
" ENSMUSG00000086503","ENSMUSG00000086503","  Xist",24,39303,17292,38513,54888,6,14,11,12,3,14
" ENSMUSG00000085715","ENSMUSG00000085715","  Tsix",20,3817,1688,3511,5328,2,2,3,5,0,6
" ENSMUSG00000069045","ENSMUSG00000069045","  Ddx3y",1800,0,0,1,0,1350,1347,1615,2263,1630,1727
" ENSMUSG00000069049","ENSMUSG00000069049","  Eif2s3y",1796,1,0,0,0,853,739,1752,1486,1271,692
" ENSMUSG00000056673","ENSMUSG00000056673","  Kdm5d",1276,0,1,2,0,760,687,1193,1204,1045,1019
" ENSMUSG00000100801","ENSMUSG00000100801","  Gm15459",23,19,1048,12,1246,29,13,2749,4288,53,15
" ENSMUSG00000068457","ENSMUSG00000068457","  Uty",732,0,1,0,0,621,502,748,819,741,806
" ENSMUSG00000030111","ENSMUSG00000030111","  A2m",7759,2546,1515,1791,85,60,45,6527,7145,5792,4401
" ENSMUSG00000023484","ENSMUSG00000023484","  Prph",940,398,178,264,3,2,0,1034,1011,892,759
" ENSMUSG00000024041","ENSMUSG00000024041","  Cryaa",2638,2130,1379,2135,1345,2190,448,3230,6473,2,4384
" ENSMUSG00000006154","ENSMUSG00000006154","  Eps8l1",19,492,837,805,657,17,69,18,19,1651,637
" ENSMUSG00000030209","ENSMUSG00000030209","  Grin2b",784,2305,24,1296,1198,47,62,783,124,73,1952
" ENSMUSG00000073164","ENSMUSG00000073164","  2410018L13Rik",227,0,0,0,170,255,233,1,0,169,143
" ENSMUSG00000117786","ENSMUSG00000117786","  ",0,0,0,278,0,306,255,2,0,0,0
" ENSMUSG00000099876","ENSMUSG00000099876","  Gm29650",290,0,0,0,0,155,74,336,270,175,113
" ENSMUSG00000028777","ENSMUSG00000028777","  Gnat3",471,376,258,24,14,17,7,618,497,646,23
" ENSMUSG00000022129","ENSMUSG00000022129","  Dct",710,58,17,219,304,31,0,25,790,388,19
" ENSMUSG00000001510","ENSMUSG00000001510","  Dlx3",630,195,127,104,8,5,3,565,390,388,299
" ENSMUSG00000030324","ENSMUSG00000030324","  Rho",844,234,19,71,6928,721,661,1221,1125,1099,1310
" ENSMUSG00000113586","ENSMUSG00000113586","  Gm48606",133,12,0,0,203,220,272,0,7,133,216
" ENSMUSG00000019966","ENSMUSG00000019966","  Kitl",419,195,52,78,3,7,7,427,431,411,335
" ENSMUSG00000023868","ENSMUSG00000023868","  Pde10a",180,64,2,23,660,1028,1255,114,50,112,119
" ENSMUSG00000021091","ENSMUSG00000021091","  Serpina3n",1623,200,89,183,114,32,13,1074,959,820,524
" ENSMUSG00000030208","ENSMUSG00000030208","  Emp1",234,432,1,274,463,28,55,172,20,5,328
" ENSMUSG00000042240","ENSMUSG00000042240","  Crybb2",955,782,451,775,473,810,123,1278,2411,7,1888
" ENSMUSG00000037225","ENSMUSG00000037225","  Fgf2",2199,1542,571,692,62,58,91,1535,2026,1601,1539
" ENSMUSG00000021994","ENSMUSG00000021994","  Wnt5a",996,1451,24,509,10,104,76,187,150,193,549
" ENSMUSG00000025359","ENSMUSG00000025359","  Pmel",306,32,3,163,162,9,7,4,210,294,10
" ENSMUSG00000053113","ENSMUSG00000053113","  Socs3",625,920,99,120,74,7,28,708,564,438,400
" ENSMUSG00000098262","ENSMUSG00000098262","  Gm27520",0,136,53,114,207,0,3,0,0,0,0
" ENSMUSG00000029781","ENSMUSG00000029781","  Fkbp9",311,915,5,618,102,87,39,145,515,189,33
" ENSMUSG00000080242","ENSMUSG00000080242","  Atp6v0c-ps2",12,7,5,282,5,255,220,6,10,9,12
" ENSMUSG00000113439","ENSMUSG00000113439","  Gm49382",64,127,63,80,0,0,0,188,154,39,1
" ENSMUSG00000022055","ENSMUSG00000022055","  Nefl",931,321,7,156,103,20,33,319,264,333,172
" ENSMUSG00000066553","ENSMUSG00000066553","  Gm6969",1,187,64,93,117,138,0,134,164,0,102
" ENSMUSG00000117987","ENSMUSG00000117987","  ",287,232,150,257,159,230,52,407,811,0,586
" ENSMUSG00000107470","ENSMUSG00000107470","  Gm3375",178,155,73,138,0,64,56,1,3,1,100
" ENSMUSG00000113332","ENSMUSG00000113332","  Gm9259",81,112,74,95,0,0,0,106,157,53,0
" ENSMUSG00000073418","ENSMUSG00000073418","  C4b",228,33,9,83,7,8,0,293,146,136,81
" ENSMUSG00000047261","ENSMUSG00000047261","  Gap43",249,106,47,118,10,7,6,282,302,231,165
" ENSMUSG00000032554","ENSMUSG00000032554","  Trf",942,242,50,198,338,8,34,549,338,291,154
" ENSMUSG00000113199","ENSMUSG00000113199","  Gm9229",9,136,32,58,0,0,0,113,150,5,0
" ENSMUSG00000050936","ENSMUSG00000050936","  Gm42743",0,86,3,143,2,131,81,3,0,0,12
" ENSMUSG00000058952","ENSMUSG00000058952","  Cfi",2128,2142,1390,748,218,194,97,2010,2502,2011,1912
" ENSMUSG00000006546","ENSMUSG00000006546","  Cryba2",194,197,71,173,83,138,24,226,556,0,322
" ENSMUSG00000075020","ENSMUSG00000075020","  Mir670hg",93,59,20,11,309,545,802,81,95,121,72
" ENSMUSG00000020758","ENSMUSG00000020758","  Itgb4",366,23,12,51,37,53,50,233,476,45,417
" ENSMUSG00000000724","ENSMUSG00000000724","  Cryba1",170,170,53,140,91,144,29,272,512,1,366
" ENSMUSG00000047344","ENSMUSG00000047344","  Lancl3",3,85,33,48,18,32,12,196,315,260,166
" ENSMUSG00000095597","ENSMUSG00000095597","  Gm6472",133,309,183,175,16,98,11,280,137,11,18
" ENSMUSG00000116926","ENSMUSG00000116926","  Gm18234",0,97,0,59,0,74,0,0,0,0,72
" ENSMUSG00000061808","ENSMUSG00000061808","  Ttr",405,35,1,57,137,4,10,46,113,28,51
" ENSMUSG00000042129","ENSMUSG00000042129","  Rassf4",380,55,297,36,63,460,353,431,1086,848,407
" ENSMUSG00000071637","ENSMUSG00000071637","  Cebpd",312,539,36,133,72,10,18,238,253,177,79
" ENSMUSG00000005994","ENSMUSG00000005994","  Tyrp1",195,34,6,53,90,17,0,19,245,87,9
" ENSMUSG00000034837","ENSMUSG00000034837","  Gnat1",684,212,75,163,3953,875,1206,878,656,766,958
" ENSMUSG00000070880","ENSMUSG00000070880","  Gad1",258,738,6,69,152,45,57,271,295,177,185
" ENSMUSG00000060177","ENSMUSG00000060177","  Klk1b22",34,2,0,3,144,0,0,159,17,9,7
" ENSMUSG00000108608","ENSMUSG00000108608","  Gm6916",3,3,1,91,2,78,145,1,2,5,2
" ENSMUSG00000073197","ENSMUSG00000073197","  5730507C01Rik",436,30,35,38,215,337,285,43,16,243,174
" ENSMUSG00000020932","ENSMUSG00000020932","  Gfap",158,86,13,29,6,7,11,180,91,267,48
" ENSMUSG00000045903","ENSMUSG00000045903","  Npas4",1112,532,52,145,518,1188,2285,553,1140,1106,886
" ENSMUSG00000025927","ENSMUSG00000025927","  Tfap2b",272,624,11,140,138,32,44,316,334,145,256
" ENSMUSG00000050953","ENSMUSG00000050953","  Gja1",386,19,16,90,160,33,24,85,441,141,29
" ENSMUSG00000018339","ENSMUSG00000018339","  Gpx3",854,58,28,135,189,97,83,202,795,412,64
" ENSMUSG00000037771","ENSMUSG00000037771","  Slc32a1",117,391,6,66,64,17,14,158,251,117,101
" ENSMUSG00000029309","ENSMUSG00000029309","  Sparcl1",185,267,0,78,133,13,41,177,144,122,110
" ENSMUSG00000036907","ENSMUSG00000036907","  C1ql2",78,281,0,16,54,8,11,81,133,75,60
" ENSMUSG00000024027","ENSMUSG00000024027","  Glp1r",0,0,0,2,0,118,103,0,1,0,0
" ENSMUSG00000117785","ENSMUSG00000117785","  ",10,107,6,103,3,78,57,3,4,1,1
" ENSMUSG00000024575","ENSMUSG00000024575","  Pde6a",150,54,8,22,728,119,124,194,171,165,165
" ENSMUSG00000033501","ENSMUSG00000033501","  Crygs",78,100,31,113,71,96,21,199,297,0,223
" ENSMUSG00000110622","ENSMUSG00000110622","  Iqcn",174,49,29,28,144,662,780,89,132,148,91
" ENSMUSG00000045573","ENSMUSG00000045573","  Penk",218,14,6,14,154,34,0,81,99,38,23
" ENSMUSG00000041889","ENSMUSG00000041889","  Shisa4",861,1152,30,870,1215,708,816,1045,1442,1050,781
" ENSMUSG00000030905","ENSMUSG00000030905","  Crym",119,126,8,52,16,6,1,186,71,95,28
" ENSMUSG00000075014","ENSMUSG00000075014","  Gm10800",228,13,3,5,50,150,37,146,26,20,16
" ENSMUSG00000062960","ENSMUSG00000062960","  Kdr",361,356,47,293,145,26,36,592,300,415,182
" ENSMUSG00000006369","ENSMUSG00000006369","  Fbln1",329,31,16,42,105,36,17,151,364,199,40
" ENSMUSG00000025900","ENSMUSG00000025900","  Rp1",27,27,0,1,274,44,42,80,60,81,102
" ENSMUSG00000044646","ENSMUSG00000044646","  Zbtb7c",101,56,38,52,6,4,6,155,141,155,117
" ENSMUSG00000029153","ENSMUSG00000029153","  Ociad2",888,300,200,254,62,57,65,635,710,533,494
" ENSMUSG00000000628","ENSMUSG00000000628","  Hk2",697,494,58,212,1418,1735,2180,585,690,694,630
" ENSMUSG00000045991","ENSMUSG00000045991","  Onecut2",1663,570,497,576,116,127,139,1228,1191,1043,1118
" ENSMUSG00000045875","ENSMUSG00000045875","  Adra1a",110,31,28,37,4,7,1,85,172,124,72
" ENSMUSG00000028195","ENSMUSG00000028195","  Ccn1",957,722,138,599,375,114,78,1583,791,1049,387
" ENSMUSG00000008398","ENSMUSG00000008398","  Elk3",265,187,52,104,22,24,5,84,186,187,192
" ENSMUSG00000026167","ENSMUSG00000026167","  Wnt10a",118,18,10,14,241,209,252,49,42,102,132
" ENSMUSG00000030310","ENSMUSG00000030310","  Slc6a1",519,1140,31,197,379,105,117,570,572,406,401
" ENSMUSG00000004633","ENSMUSG00000004633","  Chn2",747,803,33,570,701,349,518,405,1238,951,163
" ENSMUSG00000067220","ENSMUSG00000067220","  Cnga1",14,5,0,2,268,43,59,51,29,39,34
" ENSMUSG00000020044","ENSMUSG00000020044","  Timp3",1058,502,66,504,423,152,61,936,726,615,320
" ENSMUSG00000026576","ENSMUSG00000026576","  Atp1b1",204,303,7,87,102,22,43,209,285,129,174
" ENSMUSG00000006007","ENSMUSG00000006007","  Pdc",63,47,0,15,448,59,55,110,84,62,79
" ENSMUSG00000020303","ENSMUSG00000020303","  Stc2",16,22,0,5,69,156,212,28,20,20,37
" ENSMUSG00000090799","ENSMUSG00000090799","  Klhl33",494,230,160,410,49,293,189,34,36,36,229
" ENSMUSG00000003545","ENSMUSG00000003545","  Fosb",15183,4592,924,2407,7169,15732,26799,6719,10801,9605,7500
" ENSMUSG00000001435","ENSMUSG00000001435","  Col18a1",376,54,8,69,130,71,54,251,375,239,75
" ENSMUSG00000052133","ENSMUSG00000052133","  Sema5b",766,923,528,671,161,114,111,1222,1392,1107,958
" ENSMUSG00000060802","ENSMUSG00000060802","  B2m",323,117,33,127,76,26,16,321,268,273,165
" ENSMUSG00000003410","ENSMUSG00000003410","  Elavl3",209,283,2,67,100,23,39,170,150,104,96
" ENSMUSG00000018169","ENSMUSG00000018169","  Mfng",318,472,551,50,96,106,116,646,990,519,151
" ENSMUSG00000096403","ENSMUSG00000096403","  Gm9825",6,7,4,131,13,120,94,9,14,9,4
" ENSMUSG00000045532","ENSMUSG00000045532","  C1ql1",113,209,2,33,60,6,14,103,105,63,69
" ENSMUSG00000081223","ENSMUSG00000081223","  Gm12247",0,0,0,89,0,55,43,0,0,4,0
" ENSMUSG00000029816","ENSMUSG00000029816","  Gpnmb",642,97,32,200,338,304,534,81,365,330,58
" ENSMUSG00000040632","ENSMUSG00000040632","  Nrl",28,7,5,7,362,56,56,26,47,43,43
" ENSMUSG00000045763","ENSMUSG00000045763","  Basp1",227,356,16,98,122,47,18,203,266,149,168
" ENSMUSG00000050550","ENSMUSG00000050550","  Gm11868",2,54,56,75,4,32,28,88,148,44,1
" ENSMUSG00000026483","ENSMUSG00000026483","  Fam129a",169,35,12,58,57,13,1,46,173,101,22
" ENSMUSG00000039194","ENSMUSG00000039194","  Rlbp1",565,792,92,405,273,50,95,831,398,480,195
" ENSMUSG00000018830","ENSMUSG00000018830","  Myh11",118,49,5,58,104,12,3,18,66,104,6
" ENSMUSG00000059040","ENSMUSG00000059040","  Eno1b",128,14,146,5,119,120,152,199,187,160,175
" ENSMUSG00000092090","ENSMUSG00000092090","  Gm3294",14,5,0,4,156,100,59,48,32,40,44
" ENSMUSG00000020431","ENSMUSG00000020431","  Adcy1",1853,1077,247,316,2430,3837,3550,2025,1801,1590,2476
" ENSMUSG00000027270","ENSMUSG00000027270","  Lamp5",39,152,7,56,34,4,7,130,111,51,93
" ENSMUSG00000033565","ENSMUSG00000033565","  Rbfox2",172,261,8,78,70,11,36,110,149,130,125
" ENSMUSG00000028838","ENSMUSG00000028838","  Extl1",24,521,429,484,366,499,474,534,694,494,1006
" ENSMUSG00000071341","ENSMUSG00000071341","  Egr4",261,404,8,85,165,122,236,262,325,242,264
" ENSMUSG00000035805","ENSMUSG00000035805","  Mlc1",93,153,13,90,67,4,13,171,86,124,47
" ENSMUSG00000037428","ENSMUSG00000037428","  Vgf",219,195,7,74,203,262,466,187,249,199,160
" ENSMUSG00000021359","ENSMUSG00000021359","  Tfap2a",47,202,0,33,24,11,13,76,104,65,60
" ENSMUSG00000019768","ENSMUSG00000019768","  Esr1",3,10,7,235,10,15,24,65,69,35,47
" ENSMUSG00000078307","ENSMUSG00000078307","  AI593442",51,124,0,8,27,9,0,56,64,30,55
" ENSMUSG00000032024","ENSMUSG00000032024","  Clmp",31,29,38,12,121,18,20,204,289,46,30
" ENSMUSG00000022054","ENSMUSG00000022054","  Nefm",507,183,14,141,96,42,35,185,189,176,140
" ENSMUSG00000020627","ENSMUSG00000020627","  Klhl29",1588,865,542,760,222,221,181,1305,1948,1502,1286
" ENSMUSG00000113604","ENSMUSG00000113604","  Gm19786",57,1,1,1,39,60,39,1,0,38,38
" ENSMUSG00000093880","ENSMUSG00000093880","  Tmem181c-ps",1,1,0,51,0,67,43,0,0,0,0
" ENSMUSG00000083116","ENSMUSG00000083116","  Gm13410",2,6,36,2,5,4,4,80,103,3,2
" ENSMUSG00000041577","ENSMUSG00000041577","  Prelp",120,104,16,51,38,17,3,178,113,126,41
" ENSMUSG00000007655","ENSMUSG00000007655","  Cav1",116,81,8,58,23,6,1,131,48,53,38
" ENSMUSG00000023979","ENSMUSG00000023979","  Guca1b",38,21,3,6,311,50,57,62,46,24,34
" ENSMUSG00000117813","ENSMUSG00000117813","  ",11,4,1,87,6,83,88,8,4,8,14
" ENSMUSG00000022602","ENSMUSG00000022602","  Arc",666,377,47,315,80,78,84,513,317,355,147
" ENSMUSG00000084215","ENSMUSG00000084215","  Gm11814",25,29,1,21,72,1,1,62,91,66,42
" ENSMUSG00000058831","ENSMUSG00000058831","  Opn1sw",112,388,11,35,212,82,31,132,84,66,32
" ENSMUSG00000020467","ENSMUSG00000020467","  Efemp1",175,82,6,56,54,10,16,133,116,116,31
" ENSMUSG00000073409","ENSMUSG00000073409","  H2-Q6",179,91,47,138,14,37,26,297,206,207,132
" ENSMUSG00000117622","ENSMUSG00000117622","  ",42,47,47,400,26,263,118,26,67,38,23
" ENSMUSG00000118364","ENSMUSG00000118364","  ",26,15,4,11,27,124,191,9,13,24,8
" ENSMUSG00000028926","ENSMUSG00000028926","  Cdk14",125,118,3,25,57,6,20,93,101,72,83
" ENSMUSG00000049134","ENSMUSG00000049134","  Nrap",9,20,9,6,43,153,173,14,20,12,29
" ENSMUSG00000116775","ENSMUSG00000116775","  Gm49769",30,1,0,0,34,59,70,0,0,12,23
" ENSMUSG00000026787","ENSMUSG00000026787","  Gad2",61,198,0,18,49,9,22,90,53,32,62
" ENSMUSG00000047945","ENSMUSG00000047945","  Marcksl1",199,81,7,52,125,219,344,133,171,189,66
" ENSMUSG00000042622","ENSMUSG00000042622","  Maff",505,621,27,241,105,87,95,317,258,166,103
" ENSMUSG00000041673","ENSMUSG00000041673","  Lrrc18",0,1,35,0,4,6,4,70,62,43,32
" ENSMUSG00000029561","ENSMUSG00000029561","  Oasl2",55,55,3,15,3,3,4,89,69,51,39
" ENSMUSG00000026452","ENSMUSG00000026452","  Syt2",1980,992,1445,948,136,523,643,1949,2457,1960,1644
" ENSMUSG00000029491","ENSMUSG00000029491","  Pde6b",138,25,29,37,644,156,120,136,125,97,150
" ENSMUSG00000039097","ENSMUSG00000039097","  Rln1",2,0,0,4,4,91,73,4,3,0,9
" ENSMUSG00000026678","ENSMUSG00000026678","  Rgs5",154,57,0,15,56,46,22,81,50,153,87
" ENSMUSG00000091177","ENSMUSG00000091177","  Gm15494",0,20,36,29,23,0,0,0,0,85,30
" ENSMUSG00000099759","ENSMUSG00000099759","  1700030C10Rik",39,0,1,0,34,28,41,1,0,51,45
" ENSMUSG00000029086","ENSMUSG00000029086","  Prom1",65,73,1,10,161,19,15,84,69,62,63
" ENSMUSG00000041608","ENSMUSG00000041608","  Entpd3",26,13,2,5,39,131,171,26,23,27,31
" ENSMUSG00000003657","ENSMUSG00000003657","  Calb2",105,159,9,72,43,13,18,161,164,48,70
" ENSMUSG00000020607","ENSMUSG00000020607","  Fam84a",110,323,195,162,54,56,60,220,463,164,22
" ENSMUSG00000029352","ENSMUSG00000029352","  Crybb3",43,30,9,37,15,43,22,95,195,3,95
" ENSMUSG00000006445","ENSMUSG00000006445","  Epha2",73,92,6,89,19,12,0,100,27,32,23
" ENSMUSG00000068699","ENSMUSG00000068699","  Flnc",276,90,5,57,15,40,43,75,22,20,21
" ENSMUSG00000072476","ENSMUSG00000072476","  Gm9008",1,0,23,2,0,8,2,67,68,1,0
" ENSMUSG00000030772","ENSMUSG00000030772","  Dkk3",1338,1544,162,714,615,270,210,1708,1208,961,640
" ENSMUSG00000101429","ENSMUSG00000101429","  BC055402",56,53,4,28,9,3,0,98,30,66,17
" ENSMUSG00000037206","ENSMUSG00000037206","  Islr",55,13,2,20,30,9,0,23,113,48,1
" ENSMUSG00000020907","ENSMUSG00000020907","  Rcvrn",62,46,2,11,237,39,42,83,72,80,81
" ENSMUSG00000025402","ENSMUSG00000025402","  Nab2",250,154,27,80,398,247,371,435,371,537,211
" ENSMUSG00000064246","ENSMUSG00000064246","  Chil1",80,32,8,6,7,4,2,71,44,86,30
" ENSMUSG00000035783","ENSMUSG00000035783","  Acta2",81,37,8,51,59,1,1,21,43,74,7
" ENSMUSG00000021255","ENSMUSG00000021255","  Esrrb",30,20,0,0,162,47,28,34,27,36,48
" ENSMUSG00000056427","ENSMUSG00000056427","  Slit3",759,468,336,551,168,154,88,872,1076,862,491
" ENSMUSG00000031293","ENSMUSG00000031293","  Rs1",77,96,8,26,351,40,42,116,97,132,70
" ENSMUSG00000021303","ENSMUSG00000021303","  Gng4",78,22,3,22,111,107,234,51,50,54,43
" ENSMUSG00000054717","ENSMUSG00000054717","  Hmgb2",39,26,16,15,70,171,324,50,45,79,83
" ENSMUSG00000007097","ENSMUSG00000007097","  Atp1a2",466,53,38,96,211,81,59,263,352,204,64
" ENSMUSG00000086653","ENSMUSG00000086653","  9130015L21Rik",63,27,11,3,0,13,4,64,50,71,50
" ENSMUSG00000060550","ENSMUSG00000060550","  H2-Q7",161,59,21,57,12,18,27,196,96,142,97
" ENSMUSG00000021250","ENSMUSG00000021250","  Fos",10880,5413,1088,2664,11789,7396,7072,7938,16077,12437,10946
" ENSMUSG00000091002","ENSMUSG00000091002","  Tcerg1l",347,169,59,191,83,42,45,275,400,343,234
" ENSMUSG00000040536","ENSMUSG00000040536","  Necab1",98,136,0,39,69,11,37,72,72,67,88
" ENSMUSG00000019970","ENSMUSG00000019970","  Sgk1",190,57,1,57,164,36,43,76,63,90,28
" ENSMUSG00000025515","ENSMUSG00000025515","  Muc2",133,25,19,43,241,236,293,108,80,88,77
" ENSMUSG00000032356","ENSMUSG00000032356","  Rasgrf1",107,303,8,38,80,28,29,104,134,64,93
" ENSMUSG00000050321","ENSMUSG00000050321","  Neto1",23,182,11,30,10,5,2,54,48,18,35
" ENSMUSG00000021701","ENSMUSG00000021701","  Plk2",308,173,30,50,102,458,477,110,180,206,170
" ENSMUSG00000022146","ENSMUSG00000022146","  Osmr",116,30,1,26,13,1,2,63,32,29,23
" ENSMUSG00000001119","ENSMUSG00000001119","  Col6a1",91,129,0,27,59,8,37,82,74,40,56
" ENSMUSG00000032292","ENSMUSG00000032292","  Nr2e3",28,10,7,0,198,48,31,23,20,18,35
" ENSMUSG00000113724","ENSMUSG00000113724","  Gm48398",33,1,0,0,29,41,32,0,0,34,39
" ENSMUSG00000033730","ENSMUSG00000033730","  Egr3",620,376,28,221,243,233,575,480,398,422,240
" ENSMUSG00000097141","ENSMUSG00000097141","  Gm10524",453,259,46,64,214,206,225,57,405,473,160
" ENSMUSG00000105703","ENSMUSG00000105703","  Gm43305",0,13,13,0,0,17,15,42,56,84,30
" ENSMUSG00000114158","ENSMUSG00000114158","  Gm49372",14,60,29,26,0,0,5,53,51,27,0
" ENSMUSG00000033295","ENSMUSG00000033295","  Ptprf",365,362,32,154,193,89,74,455,402,292,215
" ENSMUSG00000031297","ENSMUSG00000031297","  Slc7a3",44,12,18,15,71,175,159,52,50,25,11
" ENSMUSG00000030342","ENSMUSG00000030342","  Cd9",81,61,11,38,33,10,0,109,47,88,25
" ENSMUSG00000002985","ENSMUSG00000002985","  Apoe",2692,1425,237,1130,906,461,485,2521,1952,1665,687
" ENSMUSG00000089827","ENSMUSG00000089827","  1700023H06Rik",37,17,11,5,89,115,146,22,63,19,27
" ENSMUSG00000022044","ENSMUSG00000022044","  Stmn4",262,124,48,117,42,186,388,46,60,26,132
" ENSMUSG00000032060","ENSMUSG00000032060","  Cryab",1030,728,290,845,609,691,325,1335,2020,142,1347
" ENSMUSG00000024140","ENSMUSG00000024140","  Epas1",271,227,40,113,164,36,23,259,147,183,71
" ENSMUSG00000021127","ENSMUSG00000021127","  Zfp36l1",351,394,37,129,94,61,56,280,247,220,69
" ENSMUSG00000021908","ENSMUSG00000021908","  Gm6768",68,62,1,44,1,33,18,4,5,3,25
" ENSMUSG00000070498","ENSMUSG00000070498","  Tmem132b",92,68,20,47,34,6,3,132,58,84,30
" ENSMUSG00000027420","ENSMUSG00000027420","  Bfsp1",14,9,6,33,10,36,4,11,25,3,172
" ENSMUSG00000050174","ENSMUSG00000050174","  Nudt6",510,326,142,188,57,63,83,323,467,346,368
" ENSMUSG00000034640","ENSMUSG00000034640","  Tiparp",986,402,197,196,340,1677,1943,361,414,397,422
" ENSMUSG00000035929","ENSMUSG00000035929","  H2-Q4",198,81,34,56,27,28,62,230,256,194,113
" ENSMUSG00000014846","ENSMUSG00000014846","  Tppp3",282,113,37,92,124,417,784,151,142,136,123
" ENSMUSG00000081824","ENSMUSG00000081824","  BC002163",234,136,70,131,114,115,108,118,247,140,5
" ENSMUSG00000026773","ENSMUSG00000026773","  Pfkfb3",515,298,127,168,898,1399,1419,648,700,543,557
" ENSMUSG00000045333","ENSMUSG00000045333","  Zfp423",50,81,0,20,24,0,8,35,66,36,40
" ENSMUSG00000074652","ENSMUSG00000074652","  Myh7b",2849,1316,358,2382,3614,2719,2195,1865,675,560,2206
" ENSMUSG00000018899","ENSMUSG00000018899","  Irf1",465,420,91,210,99,71,62,495,402,319,244
" ENSMUSG00000041828","ENSMUSG00000041828","  Abca8a",196,254,35,232,152,35,67,460,180,237,112
" ENSMUSG00000062859","ENSMUSG00000062859","  Tcp11",20,11,9,17,23,71,142,12,7,4,3
" ENSMUSG00000026147","ENSMUSG00000026147","  Col9a1",66,45,10,33,23,1,10,120,50,45,6
" ENSMUSG00000113411","ENSMUSG00000113411","  Gm48643",18,39,39,17,0,0,0,33,59,11,0
" ENSMUSG00000041741","ENSMUSG00000041741","  Pde3a",1419,769,157,539,2280,1412,2238,897,1321,1594,1348
" ENSMUSG00000005360","ENSMUSG00000005360","  Slc1a3",238,309,31,195,124,66,40,392,163,217,93
" ENSMUSG00000024810","ENSMUSG00000024810","  Il33",122,165,20,52,30,7,21,137,78,67,34
" ENSMUSG00000048096","ENSMUSG00000048096","  Lmod1",189,175,6,113,216,185,179,159,195,139,121
" ENSMUSG00000026365","ENSMUSG00000026365","  Cfh",88,66,24,29,29,5,0,66,75,74,36
" ENSMUSG00000023367","ENSMUSG00000023367","  Tmem176a",63,26,4,15,15,3,1,62,69,57,16
" ENSMUSG00000000567","ENSMUSG00000000567","  Sox9",331,464,24,164,113,63,81,239,179,206,115
" ENSMUSG00000026042","ENSMUSG00000026042","  Col5a2",4,7,10,38,79,1,0,0,0,0,0
" ENSMUSG00000025161","ENSMUSG00000025161","  Slc16a3",1042,567,217,259,1530,1788,1882,1128,1702,1200,1038
" ENSMUSG00000024992","ENSMUSG00000024992","  Pde6c",49,311,12,41,67,21,18,106,50,71,44
" ENSMUSG00000003617","ENSMUSG00000003617","  Cp",505,293,59,212,173,87,61,533,326,371,202
" ENSMUSG00000019990","ENSMUSG00000019990","  Pde7b",409,202,101,222,1297,816,1169,350,440,461,423
" ENSMUSG00000047139","ENSMUSG00000047139","  Cd24a",88,43,8,45,14,40,6,61,134,11,66
" ENSMUSG00000087563","ENSMUSG00000087563","  Gm14205",36,108,3,23,25,8,5,45,104,43,36
" ENSMUSG00000023000","ENSMUSG00000023000","  Dhh",123,95,55,46,10,13,22,116,123,115,105
" ENSMUSG00000063696","ENSMUSG00000063696","  Gm8730",64,1,36,1,12,13,33,43,81,59,38
" ENSMUSG00000031762","ENSMUSG00000031762","  Mt2",504,313,111,131,366,730,1780,432,510,501,401
" ENSMUSG00000027797","ENSMUSG00000027797","  Dclk1",163,152,9,31,95,24,39,113,118,118,95
" ENSMUSG00000036523","ENSMUSG00000036523","  Greb1",33,34,0,36,14,2,0,63,57,33,25
" ENSMUSG00000044375","ENSMUSG00000044375","  Pcare",29,81,4,5,138,16,40,65,59,32,50
" ENSMUSG00000048540","ENSMUSG00000048540","  Nhlh2",56,90,3,6,20,7,0,35,37,35,33
" ENSMUSG00000110588","ENSMUSG00000110588","  Gm45774",600,361,125,140,415,851,1855,488,570,534,429
" ENSMUSG00000019775","ENSMUSG00000019775","  Rgs17",135,104,63,86,19,32,11,124,178,161,71
" ENSMUSG00000028602","ENSMUSG00000028602","  Tnfrsf8",115,74,0,85,82,109,70,51,36,74,23
" ENSMUSG00000113407","ENSMUSG00000113407","  Gm47437",17,32,38,24,5,3,1,63,66,16,0
" ENSMUSG00000036181","ENSMUSG00000036181","  Hist1h1c",356,181,168,183,533,1289,1605,301,443,355,313
" ENSMUSG00000036206","ENSMUSG00000036206","  Sh3bp4",30,94,0,20,20,9,3,59,65,26,37
" ENSMUSG00000053420","ENSMUSG00000053420","  Gm4792",4246,3434,527,2927,5603,2932,3511,1224,5204,4197,6402
" ENSMUSG00000028172","ENSMUSG00000028172","  Tacr3",12,169,5,16,22,20,2,29,56,31,20
" ENSMUSG00000040478","ENSMUSG00000040478","  Prdm13",38,123,0,20,9,2,12,34,40,31,24
" ENSMUSG00000010476","ENSMUSG00000010476","  Ebf3",72,88,2,19,17,2,6,36,55,25,33
" ENSMUSG00000028341","ENSMUSG00000028341","  Nr4a3",442,235,46,224,814,612,666,357,347,266,276
" ENSMUSG00000073067","ENSMUSG00000073067","  9130019P16Rik",79,102,5,74,90,25,29,34,130,98,15
" ENSMUSG00000079505","ENSMUSG00000079505","  Gm11131",113,37,22,31,11,12,31,118,145,105,46
" ENSMUSG00000021804","ENSMUSG00000021804","  Rgr",220,28,17,41,206,28,24,35,75,48,85
